NODE_ID,NODE_TYPE,NODE_NAME,lat,long,NODE_ID_OLD
3591,101,감산리1947,33.259,126.354,4060119200.0
3592,104,안덕교남측,33.256,126.354,4060119300.0
3593,101,광평교차로,33.331,126.354,4060119400.0
3594,101,감산리1947,33.259,126.355,4060119500.0
3595,101,광평교차로,33.331,126.355,4060119600.0
3596,101,광평리산108-3,33.334,126.355,4060119700.0
3597,101,광평리산150,33.338,126.356,4060119800.0
3598,101,감산삼거리,33.26,126.356,4060119900.0
3599,103,속성변화점,33.331,126.356,4060120000.0
3600,103,속성변화점,33.341,126.356,4060120100.0
3601,101,상창교차로,33.281,126.357,4060120200.0
3602,101,동광양잠단지사거리,33.314,126.359,4060120300.0
3603,101,CU서귀상창리점,33.276,126.361,4060120400.0
3604,104,상창육교서측,33.28,126.362,4060120500.0
3605,101,상창육교,33.28,126.362,4060120600.0
3606,104,상창육교동측,33.28,126.362,4060120700.0
